Word: frequency
2018-07-11: 4
01:27: 16
после: 67
матч: 1033
смолоть: 205
заявить: 7
снимать: 5
ответственность: 10
забитый: 17
пенальти: 424
черчёс: 85
это: 2153
вино: 12
брать: 31
вина: 11
тренер: 79
должный: 105
помогать: 9
игрок: 153
видимо: 17
удаться: 12
найти: 31
взаимопонимание: 1
чм2018: 879
россияхорватий: 10010
01:26: 17
хобби: 1
домогаться: 1
домагой: 12
вид: 60
01:02: 26
настроение: 59
читать: 80
твит: 109
хештег: 5
реветь: 98
00:51: 40
кажется: 77
весь: 1725
россия: 1524
завтра: 26
болеть: 301
сборная: 1087
англия: 76
хорватия: 467
2018-07-10: 82
23:49: 2
действительно: 123
яркий: 12
запоминаться: 5
вот: 141
эмоция: 528
слеза: 240
радость: 73
22:21: 1
кто-нибудь: 27
объяснить: 8
пж: 2
ещё: 299
технический: 2
поражение: 140
в: 456
понимать: 172
страница: 4
22:16: 1
мочь: 558
отойти: 27
делать: 91
22:10: 3
заесть: 1
песня: 9
мало: 232
головин: 248
дать: 101
послушать: 1
мама: 63
вместе: 86
прикалываться: 1
21:58: 3
они: 684
просто: 940
21:34: 2
растерять: 2
нерв: 100
поэтому: 32
франциябельгия: 1
запереживать: 1
крикнуть: 6
ага: 8
почти-почти: 1
бывать: 52
21:32: 1
простить: 44
один: 346
ебета: 8
бегать: 16
голый: 27
торс: 2
поль: 41
время: 202
празднование: 1
год: 230
получить: 34
жёлтый: 6
карточка: 9
какой: 163
хуй: 33
и: 762
вообще: 226
нормальный: 31
утырок: 1
посвящать: 4
гол: 173
орать: 122
слава: 50
украина: 53
21:29: 1
фото: 31
сборный: 711
который: 501
заслужить: 67
на: 218
случай: 122
жизнь: 162
21:15: 3
дзагоева: 9
отдохнуть: 6
17: 1
июль: 10
серьёзно: 38
всего: 10
10: 34
день: 59
игра: 957
чемпионат: 354
еврокубок: 1
чм: 515
20:36: 2
а: 425
акинфей: 273
смочь: 185
20:31: 1
твитор: 1
существовать: 5
последний: 385
пара: 23
благодаря: 46
роналда: 13
хула: 2
сказать: 392
герой: 149
20:25: 4
20:22: 3
19:59: 3
когда: 78
достать: 3
свой: 298
футбол: 981
19:33: 2
столько: 123
топ: 12
заставлять: 12
грустить: 31
19:21: 1
*сидеть: 3
однокурсница: 1
спортзале*: 1
я: 1320
давать: 143
сыграть: 127
город: 36
о: 43
*проходить: 1
20: 10
мин*: 1
вологда: 1
*проебал: 1
нихер: 1
знаю*: 1
*минута: 1
спустя*: 1
19:17: 3
пост: 26
19:11: 2
хит: 2
лето: 18
знать: 185
хотеть: 307
релиз: 1
песнь: 3
замечательный: 27
комментатор: 67
говорить: 277
хочунатвиталайф: 1
18:20: 1
мы: 876
другой: 92
мужчина: 24
18:03: 2
драка: 2
русский: 117
хорват: 313
германия: 50
россия-хорватия: 17
https: 247
//www.youtube.com/watch: 12
18:00: 1
ребята: 1071
прекратить: 10
17:39: 2
красноярск: 1
17:08: 2
16:48: 2
16:45: 2
worldcup: 202
worldcuprussia2018: 75
16:35: 2
суббота: 5
смотреть: 484
дворцовый: 1
круто: 124
несмотря: 132
результат: 130
2008: 15
спасибо: 1759
16:17: 1
redarrows: 1
brexit: 10
arbejde: 1
eudk: 1
tasc4: 1
dkkrim: 1
icml2018: 1
mondaymotivation: 12
klimat: 1
literature: 1
dax18: 1
redningskøyta: 1
биберфиверсосетвинст: 2
иннопром2018: 2
dienasbizness: 1
dzsv: 1
dziesmusvetki2018: 1
latvija: 1
милиция: 3
brest_by: 1
любісвойфутбол: 1
15:55: 3
остыть: 1
15:47: 1
15:11: 3
президент: 8
специально: 6
прилетать: 1
сочи: 36
причём: 9
простой: 13
чартерный: 1
рейс: 2
сидеть: 152
дворец: 1
готовиться: 4
трамп: 1
славаукраинеhttps: 1
15:03: 2
предупреждение: 3
очень: 678
больно: 101
14:57: 4
зачем: 30
вы: 1043
так: 228
говорят: 68
виноватый: 54
фу: 12
играть: 523
уметь: 114
попробовать: 43
сам: 70
выйти: 280
пол: 76
молодец: 1410
14:37: 4
максимальный: 5
ретвит: 3
14:20: 3
отвечать: 16
письмо: 2
читатель: 1
сэ: 1
объяснять: 2
основание: 2
протест: 1
http: 46
//www.sport-express.ru/football/world/chempionat-mira-2018/news/vida-poluchil-odin-gorchichnik-a-ne-dva-osnovaniy-dlya-protesta-net-1433306/: 1
14:14: 3
ну: 304
прям: 45
подвиг: 13
орден: 1
прилагаться: 1
смешно: 10
14:04: 2
попросить: 8
перерисовать: 1
карандаш: 3
получилось..: 1
по-моему: 13
ручка: 1
13:53: 9
футболист: 213
наш: 2431
слово: 180
благодарность: 23
болельщик: 198
страна: 413
друг: 51
тренерский: 6
состав: 16
тот: 208
грязь: 55
писать: 92
человек: 438
марио: 203
фёдор: 35
цена: 5
ошибка: 46
13:44: 2
iamsophlle: 1
//twitter.com/victoriaweitzm1/status/1016485322652372992: 1
13:23: 4
13:15: 4
долой: 1
судейство: 2
справедливость: 2
13:02: 2
обращение: 3
рфс: 1
12:46: 3
сказочка: 5
конец: 265
12:42: 4
лишь: 59
этот: 261
страшный: 10
не: 683
плакать: 335
роберто: 1
ты: 181
федя: 73
12:32: 2
11:40: 3
народ: 43
еб: 1
нуться: 1
петиция: 5
против: 35
мариофернандес: 4
очнуться: 1
налог: 3
бензин: 3
поднимать: 5
т.д: 10
портить: 4
правительство: 4
спортсмен: 2
неудача: 6
-этый: 6
норма: 11
вернуться: 22
реальный: 10
оглянуться: 1
11:24: 5
охуесть: 4
смысл: 26
блять: 344
горе: 19
дом: 48
принести: 9
да: 206
1/4: 436
впервые: 166
хер: 11
сколько: 67
нет: 56
радоваться: 75
но: 542
назначить: 3
виновный: 3
диван: 18
пеле: 1
профи: 2
дохер: 3
охуенный: 26
11:17: 3
хмм: 4
распространить: 1
10:52: 5
немецкий: 2
сми: 5
обвинить: 3
употребление: 2
нашатырь: 2
посмотреть: 102
новость: 12
прекрасный: 131
карл: 5
макларен: 1
родченков: 1
нервно: 5
грызть: 3
локоть: 2
додуматься: 1
ранний: 58
10:38: 3
именно: 53
фотография: 11
по: 60
мой: 339
телесемь: 1
самый: 486
начало: 63
дзюбинфей: 10
черовин: 2
10:35: 7
твиттер: 18
набирать: 3
