Twit length: frequency - %
1: 346 - 3.46%
2: 255 - 2.55%
3: 435 - 4.35%
4: 616 - 6.16%
5: 636 - 6.36%
6: 638 - 6.38%
7: 585 - 5.85%
8: 562 - 5.62%
9: 510 - 5.1%
10: 488 - 4.88%
11: 465 - 4.65%
12: 444 - 4.44%
13: 391 - 3.91%
14: 353 - 3.53%
15: 301 - 3.01%
16: 292 - 2.92%
17: 256 - 2.56%
18: 224 - 2.24%
19: 218 - 2.18%
20: 225 - 2.25%
21: 177 - 1.77%
22: 189 - 1.89%
23: 172 - 1.72%
24: 182 - 1.82%
25: 167 - 1.67%
26: 167 - 1.67%
27: 164 - 1.64%
28: 141 - 1.41%
29: 121 - 1.21%
30: 87 - 0.87%
31: 45 - 0.45%
32: 34 - 0.34%
33: 28 - 0.28%
34: 17 - 0.17%
35: 8 - 0.08%
36: 16 - 0.16%
37: 16 - 0.16%
38: 4 - 0.04%
39: 5 - 0.05%
40: 4 - 0.04%
41: 2 - 0.02%
42: 4 - 0.04%
43: 4 - 0.04%
44: 2 - 0.02%
47: 1 - 0.01%
48: 1 - 0.01%
49: 2 - 0.02%
